Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C5, C8",0402,4,1uF,C52923
"C10, C9",0402,2,22pF,C1555
"C11, C12, C17, C18, C19, C21, C22, C23, C24, C4",0402,10,100nF,C1525
C13,0402,1,10uF,C15525
"C15, C16, C3",0402,3,100nF,
"C2, C6, C7",0402,3,1uF,
C20,0402,1,1nF,
D1,0201,1,LED,
"FB1, FB2",0603,2,FerriteBead,
"J1, J2, J3, J4, J5, J6",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,6,Screw_Terminal_01x02,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J9,HANRUN_HR911105A,1,HR911105A,
"R1, R5",0402,2,R,
"R10, R12, R9",0402,3,10k,
"R11, R15",0402,2,1k,C11702
"R13, R14, R8",0402,3,1k,
"R3, R4",0603,2,27R,C25190
"R6, R7",0402,2,5k1,C25905
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U2,SOIC127P790X216-8N,1,W25Q128JVS,C131025
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U4,LQFP-48_7x7mm_P0.5mm,1,W5500,
U5,SOT-23-6,1,USBLC6-2SC6,C2827654
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
