Designator,Mid X,Mid Y,Rotation,Layer
C1,96.4,-45.8,180.0,top
C10,86.7,-72.6,0.0,top
C11,96.0,-71.3,315.0,top
C12,96.707107,-70.592893,315.0,top
C13,102.5,-64.7,0.0,top
C14,102.5,-63.7,0.0,top
C15,52.0,-48.4,0.0,top
C16,52.0,-49.4,0.0,top
C17,102.5,-62.7,0.0,top
C18,102.5,-61.7,0.0,top
C19,102.5,-60.7,0.0,top
C2,58.92,-61.0,0.0,top
C20,67.5,-48.4,180.0,top
C21,102.5,-59.7,0.0,top
C22,102.5,-58.7,0.0,top
C23,102.5,-57.7,0.0,top
C24,102.5,-56.7,0.0,top
C3,58.92,-62.0,0.0,top
C4,93.3,-52.4,180.0,top
C5,96.4,-44.0,90.0,top
C6,57.45,-61.52,90.0,top
C7,60.8,-61.0,180.0,top
C8,95.292894,-72.007107,315.0,top
C9,91.45,-70.47,90.0,top
D1,85.6,-70.55,90.0,top
FB1,49.6,-42.3,90.0,top
FB2,49.6,-45.5,270.0,top
J1,54.03,-87.4,0.0,top
J2,61.747857,-87.4,0.0,top
J3,69.465714,-87.4,0.0,top
J4,77.183571,-87.4,0.0,top
J5,92.579286,-87.4,0.0,top
J6,100.297143,-87.4,0.0,top
J7,95.6,-29.7,180.0,top
J8,115.925,-75.12,180.0,top
J9,59.885,-38.862,0.0,top
R1,98.2,-83.2,0.0,top
R10,58.6,-49.1,0.0,top
R11,88.8,-59.5,0.0,top
R12,52.0,-50.4,180.0,top
R13,66.0,-58.5,0.0,top
R14,66.0,-57.5,0.0,top
R15,88.95,-72.55,0.0,top
R3,97.6,-41.5625,0.0,top
R4,97.6,-40.0,0.0,top
R5,102.4,-83.2,180.0,top
R6,92.3,-35.5,180.0,top
R7,97.6,-35.5,0.0,top
R8,86.0,-68.7,90.0,top
R9,60.5,-49.6,180.0,top
SW1,112.025,-79.02,0.0,top
U1,95.85,-63.55,90.0,top
U2,89.6,-55.9,0.0,top
U3,93.9,-43.4625,0.0,top
U4,59.8,-55.3,270.0,top
U5,94.4,-39.5625,270.0,top
Y1,88.75,-70.25,0.0,top
