reference,value,footprint,MPN,manufacturer,Category,SKU,price,quantity
Brd1,SSD1306,128x64OLED,SSD1306-220MT,LanTu Micro,Inductors,1020534235,0.30966,1
"C1,C10,C4,C3",1uF,C_0402_1005Metric,0402ZD105MAT2A,Kyocera,Capacitors,-,-,4
"C6,C5",22pF,C_0402_1005Metric,0402ZA220JAT2A,Kyocera,Ceramic Capacitors,-,-,2
C9,10uF,C_0402_1005Metric,AMK105CBJ106MV-F,Taiyo Yuden,Ceramic Capacitors,-,-,1
"C11,C12,C15,C14,C13,C7,C17,C16,C2,C8",100nF,C_0402_1005Metric,0402YD104ZAT2A,Kyocera,Capacitors,-,-,10
"D48,D53,D49,D52,D51",SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,SK6812,OPSCO OPTOELECTRONICS,LEDs,1023055504,0.09185,5
"D50,D23,D45,D3,D28,D11,D25,D12,D14,D46,D40,D17,D44,D8,D35,D37,D26,D2,D9,D27,D34,D22,D1,D42,D32,D29,D18,D38,D33,D43,D4,D41,D7,D21,D39,D30,D20,D36,D5,D15,D47,D6,D24,D19,D16,D31,D13,D10",1N4148W,D_SOD-123,1N4148W,TK,PIN二极管,2500413313,0.0036,48
F1,500mA,Fuse_1206_3216Metric,ILB1206ER310V,Vishay,Ferrite Beads and Chips,-,-,1
J1,SWD,PinSocket_1x05_P2.54mm_Vertical,640456-5,TE Connectivity (Tyco Electronics),Wire-to-Board Connectors,2500330467,0.18468,1
J2,AudioPlug2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,SJ-3523-SMT,CUI,Cables and Wire,-,-,1
J3,USB_B,USB_B_TE_5787834_Vertical,5787834-1,TE Connectivity (Tyco Electronics),DVI / HDMI Connectors,2500417221,1.05392,1
J4,Screw_Terminal_01x04,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,XY308-2.54-4P,XINLAIYA,Terminal Blocks,1008509280,0.38994,1
"R3,R2",27R,R_0603_1608Metric,RK73B1JTTD270J,KOA,Chip SMD Resistors,-,-,2
"R5,R4,R1",1k,R_0402_1005Metric,MCR01MRTF1001,Rohm,Chip SMD Resistors,-,-,3
"R7,R6",4.7k,R_0402_1005Metric,MCR01MZPF4701,Rohm,Chip SMD Resistors,-,-,2
"RV3,RV4,RV2,RV5,RV1",R_Potentiometer,POT_PTA6043,PTA6043-2010CIB503,Bourns,Potentiometers,-,-,5
SW21,SW_Push,PinSocket_1x02_P2.54mm_Vertical,87220-2,TE Connectivity (Tyco Electronics),Headers,-,-,1
"SW43,SW18,SW3,SW4,SW17,SW42,SW34,SW13,SW38,SW8,SW9,SW30,SW5,SW16,SW35,SW45,SW40,SW39,SW2,SW31,SW23,SW11,SW27,SW24,SW32,SW37,SW29,SW25,SW22,SW33,SW12,SW7,SW14,SW10,SW28,SW15,SW6,SW44,SW41,SW36,SW26,SW20,SW1,SW19",SW_Push,SW_Hotswap_Kailh_Choc_V1V2_1.00u,CPG135001S30,Kailh,Universal,-,-,44
"SW46,SW48,SW47",RotaryEncoder_Switch,XDCR_PEC12R-4220F-S0024,PEC12R-4220F-S0024,Bourns,Encoders,1028163618,1.81583,3
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,RP2040,Raspberry Pi,Microcontrollers,2500395072,0.89857,1
U2,W25Q128JVS,SOIC127P790X216-8N,25YD80-R,Vishay,Capacitors,-,-,1
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,MCP73833-AMI/UN,Microchip Technology,Battery Management,-,-,1
U4,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,STMicroelectronics,TVS Diodes,2500337959,0.02748,1
U5,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,ADS1115IDGST,Texas Instruments (TI),Latches and Flip Flops,2300141696,6.39041,1
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,AWSCR-12.00CV-T,Abracon,Resonators,1039126278,0.27244,1
