Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
BRD1,128x64OLED,1,SSD1306,
"C1, C10, C3, C4",0402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C2, C7, C8",0402,10,100nF,C1525
"C5, C6",0402,2,22pF,C1555
C9,0402,1,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D5, D50, D6, D7, D8, D9",D_SOD-123,48,1N4148W,
"D48, D49, D51, D52, D53",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,5,SK6812,
F1,1206,1,500mA,C70076
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioPlug2,
J3,USB_B_TE_5787834_Vertical,1,USB_B,
J4,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,Screw_Terminal_01x04,
"R1, R4, R5",0402,3,1k,C11702
"R2, R3",0603,2,27R,C25190
"R6, R7",0402,2,4.7k,
"RV1, RV2, RV3, RV4, RV5",POT_PTA6043,5,R_Potentiometer,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW5, SW6, SW7, SW8, SW9",SW_Kailh_Choc_V1_1.00u,44,SW_Push,
"SW46, SW47, SW48",XDCR_PEC12R-4220F-S0024,3,RotaryEncoder_Switch,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC127P790X216-8N,1,W25Q128JVS,C131025
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
