Designator,Mid X,Mid Y,Rotation,Layer
_6,223.75,-88,0,top
_5,223.75,-34.25,0,top
_4,142.75,-142.75,0,top
_3,79,-58,0,top
_2,121.5,-17,0,top
,142.75,-108.75,0,top
BRD1,129.89,-49.05,0,top
C1,144.3,-45,270,bottom
C10,132.7,-71.48,270,bottom
C11,133.7,-71.48,270,bottom
C12,134.7,-71.48,270,bottom
C13,135.7,-71.48,270,bottom
C14,136.7,-71.48,270,bottom
C15,137.7,-71.48,270,bottom
C16,138.7,-71.48,270,bottom
C17,139.7,-71.48,270,bottom
C2,161.3,-46.82,270,bottom
C3,145.48,-49.4,0,bottom
C4,120.5,-71.52,270,bottom
C5,117.6,-69.9,0,bottom
C6,117.5,-74.5,180,bottom
C7,122.5,-71.52,270,bottom
C8,121.5,-71.52,270,bottom
C9,131.7,-71.48,270,bottom
D1,43.191,-35.0435,90,bottom
D10,97.191,-35.0435,90,bottom
D11,97.5,-136,90,bottom
D12,97.5,-153,90,bottom
D13,115.191,-35.0435,90,bottom
D14,115.5,-136,90,bottom
D15,115.5,-153,90,bottom
D16,139.5,-84.85,90,bottom
D17,139.5,-102,90,bottom
D18,139.5,-119,90,bottom
D19,139.5,-136,90,bottom
D2,43.5,-135.85,90,bottom
D20,139.5,-153.15,90,bottom
D21,164,-62,90,bottom
D22,164,-85.5,90,bottom
D23,164,-102.5,90,bottom
D24,164,-119.5,90,bottom
D25,164,-136.5,90,bottom
D26,164,-153.5,90,bottom
D27,182,-62,90,bottom
D28,182,-85.5,90,bottom
D29,182,-102.5,90,bottom
D3,43.5,-153,90,bottom
D30,182,-119.5,90,bottom
D31,182,-136.5,90,bottom
D32,182,-153.5,90,bottom
D33,200,-62,90,bottom
D34,200,-85.5,90,bottom
D35,200,-102.5,90,bottom
D36,200,-119.5,90,bottom
D37,200,-136.5,90,bottom
D38,200,-153.35,90,bottom
D39,218,-62,90,bottom
D4,61.191,-35.0435,90,bottom
D40,218,-85.5,90,bottom
D41,218,-102.5,90,bottom
D42,218,-119.5,90,bottom
D43,218,-136.5,90,bottom
D44,218,-153.15,90,bottom
D45,143.5,-39,90,bottom
D46,175.5,-39,90,bottom
D47,207,-39,90,bottom
D48,34.191,-18.719,0,top
D49,52.191,-18.719,0,top
D5,61.5,-135.85,90,bottom
D50,218.8,-73.2,270,top
D51,70.191,-18.719,0,top
D52,88.191,-18.719,0,top
D53,106.191,-18.719,0,top
D6,61.5,-152.85,90,bottom
D7,79.191,-35.0435,90,bottom
D8,79.5,-136,90,bottom
D9,79.5,-152.85,90,bottom
F1,234,-63,180,bottom
J1,224.5,-99.54,0,bottom
J2,227,-18,0,top
J3,228.745,-61.75,270,top
J4,225,-78.27,270,bottom
R1,122,-70.1,180,bottom
R2,226,-48,90,bottom
R3,227.5,-48,90,bottom
R4,125.8,-41.6,180,bottom
R5,121,-73.9,180,bottom
R6,140.1,-62.5,270,top
R7,139.1,-62.5,270,top
RV1,34.191,-85.488,0,top
RV2,52.191,-85.488,0,top
RV3,70.191,-85.488,0,top
RV4,88.191,-85.4125,0,top
RV5,106.191,-85.4125,0,top
SW1,34.191,-34.8935,0,bottom
SW10,88.191,-34.8935,0,bottom
SW11,88.191,-136,0,bottom
SW12,88.191,-153,0,bottom
SW13,106.191,-34.8935,0,bottom
SW14,106.191,-136,0,bottom
SW15,106.191,-153,0,bottom
SW16,130.5,-85,0,bottom
SW17,130.5,-102,0,bottom
SW18,130.5,-119,0,bottom
SW19,130.5,-136,0,bottom
SW2,34.191,-136,0,bottom
SW20,130.5,-153,0,bottom
SW21,121.77,-42,270,bottom
SW22,155,-61.85,0,bottom
SW23,155,-85,0,bottom
SW24,155,-102,0,bottom
SW25,155,-119,0,bottom
SW26,155,-136,0,bottom
SW27,155,-153,0,bottom
SW28,173,-61.85,0,bottom
SW29,173,-85,0,bottom
SW3,34.191,-153,0,bottom
SW30,173,-102,0,bottom
SW31,173,-119,0,bottom
SW32,173,-136,0,bottom
SW33,173,-153,0,bottom
SW34,191,-61.85,0,bottom
SW35,191,-85,0,bottom
SW36,191,-102,0,bottom
SW37,191,-119,0,bottom
SW38,191,-136,0,bottom
SW39,191,-153,0,bottom
SW4,52.191,-34.8935,0,bottom
SW40,209,-61.85,0,bottom
SW41,209,-85,0,bottom
SW42,209,-102,0,bottom
SW43,209,-119,0,bottom
SW44,209,-136,0,bottom
SW45,209,-153,0,bottom
SW46,139,-27.75,180,bottom
SW47,170.75,-27.775,180,bottom
SW48,202.5,-27.775,180,bottom
SW5,52.191,-136,0,bottom
SW6,52.191,-153,0,bottom
SW7,70.191,-34.8935,0,bottom
SW8,70.191,-136,0,bottom
SW9,70.191,-153,0,bottom
U1,129.9375,-63.0625,90,bottom
U2,155.895,-45.635,0,bottom
U3,145.5,-47,270,bottom
U4,223.1375,-51.5,180,bottom
U5,61.15,-121,90,bottom
Y1,117.6,-72.15,0,bottom
