Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C1,0603,1,22nF,
"C2, C3",0603,2,10uF,
C4,0603,1,22uF,
"C5, C6",0603,2,100nF,
"J1, J2",HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,
J3,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,1,Screw_Terminal_01x05,
"R1, R2, R3",RES_VISHAY_WSLP2512_C_VIS,3,WSLP2512R0100FEA,
R5,0402,1,5.5k,
"U1, U2, U3",VSSOP-10_3x3mm_P0.5mm,3,INA226,
"U4, U5",Texas_X2QFN-12_1.6x1.6mm_P0.4mm,2,TUSB320,
U6,SOIC8-N_MC_MCH,1,MCP130T-315I/SN,
U7,IC_TPS2121RUXR,1,TPS2121RUXR,
